0.0000000000e+00 9.1638422344e-01
1.0344827586e-01 1.2415539665e+00
2.0689655172e-01 9.0882164795e+00
3.1034482759e-01 4.8278290030e+00
4.1379310345e-01 3.8763126278e+00
5.1724137931e-01 -1.8385700002e+00
6.2068965517e-01 -3.1783517731e+00
7.2413793103e-01 -1.7584023502e+00
8.2758620690e-01 -3.1038371064e+00
9.3103448276e-01 1.0668110645e+00
1.0344827586e+00 -5.5496755449e+00
1.1379310345e+00 5.6812148143e+00
1.2413793103e+00 1.2083712885e+01
1.3448275862e+00 1.5903240468e+00
1.4482758621e+00 7.0624584510e+00
1.5517241379e+00 1.6062482178e+01
1.6551724138e+00 9.6982142790e+00
1.7586206897e+00 2.1608151725e+01
1.8620689655e+00 1.5553434121e+01
1.9655172414e+00 2.5919726400e+01
2.0689655172e+00 3.4136390576e+01
2.1724137931e+00 4.0331479448e+01
2.2758620690e+00 4.7133191408e+01
2.3793103448e+00 5.8636202116e+01
2.4827586207e+00 7.3711391986e+01
2.5862068966e+00 8.5123431046e+01
2.6896551724e+00 1.0817967808e+02
2.7931034483e+00 1.3912202249e+02
2.8965517241e+00 1.6058333158e+02
3.0000000000e+00 1.9768896638e+02
